PUBLICATION,RELATION,AIDA-SENTENCE
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The cholinesterase inhibitor donepezil is efficacious for treating mild to moderate Alzheimer's disease."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The cholinesterase inhibitor galantamine is efficacious for treating mild to moderate Alzheimer's disease."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The cholinesterase inhibitor rivastigmine is efficacious for treating mild to moderate Alzheimer's disease."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The three cholinesterase inhibitors donepezil, galantamine, and rivastigmine have about the same efficacy for treating mild to moderate Alzheimer's disease."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"Out of the two cholinesterase inhibitors donepezil and rivastigmine, donepezil leads to fewer adverse events when used for treating mild to moderate Alzheimer's disease."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine improves the patients' cognitive function."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine improves the patients' abilities to carry out activities of daily living."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine reduces the patients' behavioral disturbance from the disease."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine improves the global assessment of the patients' conditions."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine leads to an increased probability of many types of adverse events."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine improves the patients' score on the Alzheimer's Disease Assessment Scale (ADAS-Cog)."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine improves the patients' score in the Mini Mental State Examination (MMSE)."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine improves the patients' score in the Disability Assessment for Dementia (DAD)."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine improves the patients' score in the Progressive Deterioration Scale (PDS)."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine improves the patients' score obtained by the Neuropsychiatric Instrument (NPI)."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine improves the patients' score in the Clinician's Interview-Based Impression of Change scale (CIBIC-Plus)."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of the patient's withdrawal before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of the patient's withdrawal due to an adverse event before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of adverse events before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of abdominal pain before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of abnormal gait before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of abnormal dreams before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of accidental injury before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of agitation before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of anorexia before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of anxiety before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of arthralgia before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of asthenia before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of back pain before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of confusion before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of conjunctivitis before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of constipation before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of depression before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of diarrhoea before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of dizziness before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of ecchymosis before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of fatigue before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of fever before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of fracture before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of haemorrhage before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of headache before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of hostility before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of increased cough before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of infection before the end of the treatment as compared to a placebo treatment."
http://dx.doi.org/10.1002/14651858.CD005593,claims,"The treatment of Alzheimer's disease with one of the three cholinesterase inhibitors donepezil, galantamine or rivastigmine has a higher probability of at least one adverse event of insomnia before the end of the treatment as compared to a placebo treatment."
