SOURCE,RELATION,AIDA-SENTENCE
http://dx.doi.org/10.1007/s13205-016-0373-2,claims,The NOTCH1 gene is overexpressed in patients with IDC.
http://dx.doi.org/10.1208/s12248-016-9871-8,claims,Human-derived ciPTEC-OAT1 and ciPTEC-OAT3 are promising platforms for highly predictive drug screening during early phases of drug development.
http://dx.doi.org/10.3934/publichealth.2015.4.762,claims,Predictive characteristics vary according to diverter group.
http://dx.doi.org/10.1016/j.amjmed.2014.10.002,claims,Maintaining and improving adherence to healthy dietary recommendations reduce the risk of long-term inflammation.
http://dx.doi.org/10.1097/CAD.0000000000000319,claims,A protracted low dose outperforms pulse high-dose administration in inducing antiangiogenic effects in proliferating human endothelial cells.
http://dx.doi.org/10.1016/j.beproc.2015.11.007,claims,The strength of blocking in mice is dependent on the modality and experience of the blocking cue.
http://dx.doi.org/10.3892/br.2015.506,claims,The consumption of FPP is beneficial for the colonic luminal environment in rats fed a high-fat diet.
http://dx.doi.org/10.1002/biot.201100198,claims,"The ribosomal exit tunnel proteins are key targets for optimizing the overproduction of active, structurally complex recombinant proteins in bacterial cells."
http://dx.doi.org/10.1186/1471-2326-5-5,claims,There is a inverse relationship of total blood lymphocyte counts and severity of iron overload in hemochromatosis probands with HFE C282Y homozygosity.
http://dx.doi.org/10.1186/s12866-016-0847-8,claims,The various components of L. amylovorus DSM 16698T cell wall counteracts the damage caused by F4+ETEC through different mechanisms.
http://dx.doi.org/10.1016/j.devcel.2013.06.014,claims,PHD1 function is required for centrosome duplication and maturation through modification of the critical centrosome component Cep192.
http://dx.doi.org/10.1093/eurjhf/hft107,claims,The potential for further reduction in emergency HF admissions by improving clinical quality of primary care (as currently measured) is limited.
http://dx.doi.org/10.1186/2047-783X-17-30,claims,"Obesity, intraperitoneal fat volume, and a longer cumulative duration spent in the prone position puts patients with ARDS at risk of developing SC-CIP."
http://dx.doi.org/10.5964/ejop.v11i2.779,claims,Depressive symptoms decrease both at 96 hours and at 3 months as a result of making-sense task.
http://dx.doi.org/10.1111/ede.12027,claims,Different loci that act at different developmental stages underlie changes in eye size and FW.
http://dx.doi.org/10.3389/fnagi.2013.00088,claims,High ferritin levels contribute to an accelerated pathology in AD.
http://dx.doi.org/10.1186/s13027-016-0114-5,claims,HPV 51 and 52 are independently associated with abnormal cervical cytology in both HIV negative/positive FSW.
http://dx.doi.org/10.1124/dmd.116.072124,claims,Corning HepatoCells is a reliable in vitro model for drug-drug interaction studies during the early phase of drug testing.
http://dx.doi.org/10.1186/s12884-017-1248-1,claims,It is necessary for all health professionals to manage labour pain effectively taking the socio-cultural context into consideration.
http://dx.doi.org/10.4172/2472-1220.1000114,claims,Cold storage plus transplantation exacerbates renal and mitochondrial dysfunction when compared to autotransplantation alone.
http://dx.doi.org/10.2196/jmir.2819,claims,"CAT requires fewer items than NAT (an efficiency gain of 32%), suggesting a reduced burden for respondents."
http://dx.doi.org/10.1186/s12951-015-0086-4,claims,PTX-ETP/PLGA NP based combination therapy holds potential towards the treatment of osteosarcoma.
http://dx.doi.org/10.1007/s00340-015-6172-3,claims,The Mini-LHR responds extremely well to changes in the atmospheric absorption.
http://dx.doi.org/10.1038/embor.2013.62,claims,The stimulating effects of the intron mostly reside in the 5'ss rather than on a genuine splicing event.
http://dx.doi.org/10.1016/j.lfs.2016.09.018,claims,"In U46619-contracted arteries partially relaxed by 0.1M sodium nitroprusside, application of 10 and 30nM glabridin causes additional vasorelaxation."
