AIDA-URI,COMPONENT
http://purl.org/aida/Nanopublications+containing+informal+assertions+in+the+form+of+AIDA+sentences+are+a+practical+approach+to+advance+scientific+communication.,http://dbpedia.org/resource/AIDA_(marketing)
http://purl.org/aida/Scientists+are+able+to+efficiently+produce+high-quality+nanopublications+containing+informal+assertions+in+the+form+of+AIDA+sentences.,http://dbpedia.org/resource/AIDA_(marketing)
http://purl.org/aida/It+is+feasible+to+extract+high-quality+nanopublications+containing+informal+assertions+in+the+form+of+AIDA+sentences+from+existing+text+resources.,http://dbpedia.org/resource/AIDA_(marketing)
http://purl.org/aida/The+life-cycles+of+online+community+members+with+respect+their+susceptibility+to+linguistic+change+show+a+universal+pattern+of+increasingly+progressive+language+for+about+the+first+third+and+increasingly+conservative+language+for+the+rest+of+the+individual%27s+eventual+lifespan+in+terms+of+number+of+contributions.,http://dbpedia.org/resource/Progressivism
http://purl.org/aida/A+combination+of+system+and+searcher+biases+lead+search+engine+users+to+settle+on+the+incorrect+answer+to+yes%2Fno-questions+around+half+of+the+time.,http://dbpedia.org/resource/Web_search_engine
http://purl.org/aida/Systemic+linkages+of+language+traits+across+languages+of+different+language+families+are+rather+the+exception+than+the+rule.,http://dbpedia.org/resource/Language_family
http://purl.org/aida/Linguistic+diversity+across+languages+is+the+product+of+cultural+evolution.,http://dbpedia.org/resource/Sociocultural_evolution
http://purl.org/aida/The+mind+is+not+a+%22%22blank+slate%22%22+but+has+innate+traits.,http://dbpedia.org/resource/Slate
http://purl.org/aida/The+Western+dominance+over+most+of+the+last+15%2C000+years+can+be+best+explained+by+physical+geography+rather+than+culture%2C+religion%2C+politics%2C+genetics%2C+or+great+men.,http://dbpedia.org/resource/Genetics
http://purl.org/aida/The+Western+dominance+over+most+of+the+last+15%2C000+years+can+be+best+explained+by+physical+geography+rather+than+culture%2C+religion%2C+politics%2C+genetics%2C+or+great+men.,http://dbpedia.org/resource/Physical_geography
http://purl.org/aida/In+the+path-dependent+dynamics+of+history+where+accidents+become+reinforced+over+time%2C+society+may+self-organize+around+distinctions+that+are+arbitrary+from+an+a+priori+standpoint.,http://dbpedia.org/resource/Dynamical_system
http://purl.org/aida/For+social+systems+under+idealized+conditions+where+equity+norms+have+an+advantage+over+discriminatory+norms%2C+long-lived+regimes+can+emerge+that+are+far+from+equitable+and+highly+inefficient.,http://dbpedia.org/resource/Equal_opportunity
http://purl.org/aida/Nonmonotonic+reasoning+as+studied+in+AI+and+logic+programming+can+be+subsumed+by+a+general+theory+of+argumentation+based+on+the+acceptability+of+arguments.,http://dbpedia.org/resource/Artificial_intelligence
http://purl.org/aida/Nonmonotonic+reasoning+as+studied+in+AI+and+logic+programming+can+be+subsumed+by+a+general+theory+of+argumentation+based+on+the+acceptability+of+arguments.,http://dbpedia.org/resource/Logic_programming
http://purl.org/aida/Certain+n-person+games+as+studied+in+game+theory+and+economics+can+also+be+modeled+and+understood+by+applying+a+general+theory+of+argumentation+based+on+the+acceptability+of+arguments.,http://dbpedia.org/resource/Game_theory
http://purl.org/aida/The+generic+mechanisms+of+network+growth+and+preferential+attachment+are+sufficient+to+generate+scale-free+networks.,http://dbpedia.org/resource/Scale-free_network
http://purl.org/aida/The+generic+mechanisms+of+network+growth+and+preferential+attachment+are+sufficient+to+generate+scale-free+networks.,http://dbpedia.org/resource/Preferential_attachment
http://purl.org/aida/Word+order+SOV+is+more+stable+over+the+time+of+language+evolution+than+SVO.,http://dbpedia.org/resource/Subject–verb–object
http://purl.org/aida/Word+order+SOV+is+more+stable+over+the+time+of+language+evolution+than+SVO.,http://dbpedia.org/resource/Subject–object–verb
http://purl.org/aida/Word+order+SOV+is+more+stable+over+the+time+of+language+evolution+than+SVO.,http://dbpedia.org/resource/Evolution
http://purl.org/aida/SOV+and+SVO+are+the+two+most+stable+word+orders+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Subject–object–verb
http://purl.org/aida/SOV+and+SVO+are+the+two+most+stable+word+orders+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Subject–verb–object
http://purl.org/aida/SOV+and+SVO+are+the+two+most+stable+word+orders+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Evolution
http://purl.org/aida/After+SOV+and+SVO%2C+VSO+is+the+most+stable+word+order+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Subject–verb–object
http://purl.org/aida/After+SOV+and+SVO%2C+VSO+is+the+most+stable+word+order+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Subject–object–verb
http://purl.org/aida/After+SOV+and+SVO%2C+VSO+is+the+most+stable+word+order+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Evolution
http://purl.org/aida/After+SOV+and+SVO%2C+VSO+is+the+most+stable+word+order+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Verb–subject–object
http://purl.org/aida/Languages+with+SOV+word+order+are+more+likely+to+change+to+SVO+than+to+VSO+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Verb–subject–object
http://purl.org/aida/Languages+with+SOV+word+order+are+more+likely+to+change+to+SVO+than+to+VSO+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Subject–verb–object
http://purl.org/aida/Languages+with+SOV+word+order+are+more+likely+to+change+to+SVO+than+to+VSO+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Evolution
http://purl.org/aida/Languages+with+SOV+word+order+are+more+likely+to+change+to+SVO+than+to+VSO+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Subject–object–verb
http://purl.org/aida/Languages+with+VSO+word+order+are+more+likely+to+change+to+SVO+than+to+SOV+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Subject–object–verb
http://purl.org/aida/Languages+with+VSO+word+order+are+more+likely+to+change+to+SVO+than+to+SOV+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Subject–verb–object
http://purl.org/aida/Languages+with+VSO+word+order+are+more+likely+to+change+to+SVO+than+to+SOV+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Verb–subject–object
http://purl.org/aida/Languages+with+VSO+word+order+are+more+likely+to+change+to+SVO+than+to+SOV+over+the+time+of+language+evolution.,http://dbpedia.org/resource/Evolution
http://purl.org/aida/Word-order+change+over+the+time+of+language+evoluation+is+best+characterized+as+being+dominated+by+slow+cycles+between+SOV+and+SVO+and+faster+cycles+between+SVO+and+VSO.,http://dbpedia.org/resource/Subject–object–verb
http://purl.org/aida/Word-order+change+over+the+time+of+language+evoluation+is+best+characterized+as+being+dominated+by+slow+cycles+between+SOV+and+SVO+and+faster+cycles+between+SVO+and+VSO.,http://dbpedia.org/resource/Verb–subject–object
http://purl.org/aida/Word-order+change+over+the+time+of+language+evoluation+is+best+characterized+as+being+dominated+by+slow+cycles+between+SOV+and+SVO+and+faster+cycles+between+SVO+and+VSO.,http://dbpedia.org/resource/Subject–verb–object
http://purl.org/aida/Word-order+change+over+the+time+of+language+evoluation+is+best+characterized+as+being+dominated+by+slow+cycles+between+SOV+and+SVO+and+faster+cycles+between+SVO+and+VSO.,http://dbpedia.org/resource/Subject–verb–object
http://purl.org/aida/SOV+is+the+common+ancestral+word+order+in+the+evolution+of+languages+over+time.,http://dbpedia.org/resource/Subject–object–verb
http://purl.org/aida/SOV+is+the+common+ancestral+word+order+in+the+evolution+of+languages+over+time.,http://dbpedia.org/resource/Evolution
http://purl.org/aida/Latent+Dirichlet+allocation+is+an+appropriate+and+useful+model+for+collections+of+discrete+data+such+as+text+corpora.,http://dbpedia.org/resource/Text_corpus
http://purl.org/aida/Latent+Dirichlet+allocation+is+an+appropriate+and+useful+model+for+collections+of+discrete+data+such+as+text+corpora.,http://dbpedia.org/resource/Latent_Dirichlet_allocation
http://purl.org/aida/Information+systems%2C+information+science%2C+and+information+retrieval+were+the+fasted-growing+research+areas+of+computer+science+during+1990-2010.,http://dbpedia.org/resource/Computer_science
http://purl.org/aida/Information+systems%2C+information+science%2C+and+information+retrieval+were+the+fasted-growing+research+areas+of+computer+science+during+1990-2010.,http://dbpedia.org/resource/Information_systems
http://purl.org/aida/Information+systems%2C+information+science%2C+and+information+retrieval+were+the+fasted-growing+research+areas+of+computer+science+during+1990-2010.,http://dbpedia.org/resource/Science
http://purl.org/aida/The+amount+of+research+on+mathematical+foundations+in+computer+science+decreased+during+1990-2010.,http://dbpedia.org/resource/Computer_science
http://purl.org/aida/A+typical+computer+scientist%27s+research+focus+changes+in+a+cycle+of+roughly+5+to+10+years.,http://dbpedia.org/resource/Computer_scientist
http://purl.org/aida/New+research+topics+in+computer+science+are+typically+first+mentioned+in+grant+proposals+and+only+later+in+publications.,http://dbpedia.org/resource/Computer_science
http://purl.org/aida/The+Matthew+effect+in+science+heightens+the+visibility+of+contributions+by+scientists+of+acknowledged+standing+and+reduces+the+visibility+of+contributions+by+authors+who+are+less+well+known.,http://dbpedia.org/resource/Science
http://purl.org/aida/Content-Centric+Networking+%28CCN%29%2C+centering+on+named+content+instead+of+hosts%2C+is+generally+superior+to+the+Internet+Protocol+%28IP%29+given+way+the+internet+is+currently+used.,http://dbpedia.org/resource/Internet_Protocol
http://purl.org/aida/Content-Centric+Networking+%28CCN%29%2C+centering+on+named+content+instead+of+hosts%2C+is+generally+superior+to+the+Internet+Protocol+%28IP%29+given+way+the+internet+is+currently+used.,http://dbpedia.org/resource/Named_data_networking
http://purl.org/aida/Content-Centric+Networking+%28CCN%29%2C+centering+on+named+content+instead+of+hosts%2C+is+as+scalable+as+the+Internet+Protocol+%28IP%29.,http://dbpedia.org/resource/Named_data_networking
