SOURCE,RELATION,AIDA-SENTENCE,TAX,GENE
http://identifiers.org/pubmed/22703527,claims,"Serum HMGB1 is a desirable diagnostic and prognostic biomarker for PDAC compared with pre-existing pancreatic ductal adenocarcinoma (PDAC) biomarkers, CA19-9 and CEA.",9606,3146
http://identifiers.org/pubmed/22223437,claims,"Targeting Runx2 in hypertrophic chondrocytes upregulates expression of Col10a1 and other marker genes (such as Sox9).",10090,12393
http://identifiers.org/pubmed/22575600,claims,"MIF is essential for the development of neuropathic and inflammatory pain and for stress-induced enhancement of neuropathic pain.",10090,17319
http://identifiers.org/pubmed/22458330,claims,"BfrA, BfrD and BfrE are catecholamine receptors and are involved in the utilization of iron liberated from transferrin by host catecholamine stress hormones.",257310,2660615
http://identifiers.org/pubmed/22842229,claims,"Mutations in NMNAT1 cause Leber congenital amaurosis with early-onset severe macular and optic atrophy.",9606,64802
http://identifiers.org/pubmed/22645134,claims,"TRAIL induces recruitment of PACS-2 to lysosomes where it interacts with Bim and Bax to permeabilize lysosomes and trigger apoptosis.",9606,10018
http://identifiers.org/pubmed/22711886,claims,"Expression of endogenous TRAF2 is negligible in Traf2DN-transgenic B cells compared with wild-type mice.",10090,22030
http://identifiers.org/pubmed/22349271,claims,"Deletion of penicillin-binding protein 1b impairs biofilm formation and motility.",511145,949122
http://identifiers.org/pubmed/22689582,claims,"Secretase subunits restrict the arrangement of the transmembrane domains of presenilin during the formation of the functional structure of the catalytic pore.",9606,5663
http://identifiers.org/pubmed/22379137,claims,"The function of the Tlc1 terminator region depends on the Nrd1/Nab3 transcription termination pathway.",559292,9164870
http://identifiers.org/pubmed/22608924,claims,"Selective nuclear import of mature AGO4/siRNA complexes is a key regulatory point prior to the effector stage of RdDM.",3702,817246
http://identifiers.org/pubmed/22342837,claims,"Trx-1 is a therapeutic candidate for protecting against formaldehyde-induced neurotoxicity.",10116,116484
http://identifiers.org/pubmed/22511763,claims,"TLP mediates p53-governed transcriptional activation of the p21 upstream promoter.",9606,7157
http://identifiers.org/pubmed/22767602,claims,"Phosphorylation of SRp55 by Dyrk1A suppressed its ability to promote Tau exon 10 inclusion.",10116,29477
http://identifiers.org/pubmed/23036705,claims,"DHRS4L1 is a duplicate syntenic form of the human DHRS4 gene.",9606,728635
http://identifiers.org/pubmed/22815632,claims,"The rs42524 polymorphism in COL1A2 is a risk allele for neovascular age-related macular degeneration (nAMD) in a Han Chinese population.",9606,1278
http://identifiers.org/pubmed/22547782,claims,"The BIO3-BIO1 fusion protein is the sole protein form produced by the BIO3-BIO1 locus in Arabidopsis.",3702,2828219
http://identifiers.org/pubmed/22298472,claims,"Loss of glypican 3 is associated with metastasis in hepatocellular carcinoma.",9606,2719
http://identifiers.org/pubmed/22561140,claims,"Resp18 gene expression varies with activation of the corpus ghrelin-secreting cells and the antral gastrin-secreting cells.",10116,50561
http://identifiers.org/pubmed/22997752,claims,"CYP 2E1 -1293G/C polymorphism is not associated with dystrophic eye diseases.",9606,1571
http://identifiers.org/pubmed/22396489,claims,"D allele and DD ACE genotype are risk factors for the vesicoureteral reflux susceptibility/renal scar in Turkish children.",9606,1636
http://identifiers.org/pubmed/22660635,claims,"MiR-23b suppresses IL-17-, tumor necrosis factor alpha (TNF-alpha)- or IL-1beta-induced NF-kappaB activation and inflammatory cytokine expression by targeting TAB2, TAB3 and IKK-alpha.",10090,387217
http://identifiers.org/pubmed/21476145,claims,"BRCA2 N372H polymorphism is associated with follicular lymphoma.",9606,675
http://identifiers.org/pubmed/22561605,claims,"T-bet is required for the survival and function of memory B cells in vivo.",10090,57765
http://identifiers.org/pubmed/22786636,claims,"dMRP and MET are not the dominant methotrexate (MTX) transporters in the tubules when flies are reared on MTX-enriched diets.",7227,34686
http://identifiers.org/pubmed/22727666,claims,"A series of tyrosine phosphorylation events, involving both p50(Cdc37) and Hsp90, are minimally sufficient to provide directionality to the chaperone cycle.",9606,11140
http://identifiers.org/pubmed/22790009,claims,"SEMA3A signalling through NRP1 has multiple cell-autonomous roles in sympathetic nervous system development.",10090,18186
http://identifiers.org/pubmed/22636676,claims,"PKD facilitates contraction of cardiomyocytes by increasing Ca(2+) sensitivity and by an increased calcium-activated tension of contraction through phosphorylation of cMyBP-C.",10090,18760
http://identifiers.org/pubmed/22343000,claims,"The binding of HIF-1alpha complexes to hypoxia response element sites is necessary for down-regulation of hMSH3 in both wt-p53 and mut-p53 cells.",9606,4437
http://identifiers.org/pubmed/22895430,claims,"The super elongation complex (SEC) is consisting of ELL, P-TEFb (CDK9) and MLL is required for rapid transcriptional induction in the presence or absence of paused RNA polymerase II (Pol II).",9606,1025
http://identifiers.org/pubmed/22701019,claims,"KNG1 and F11 are the main genetic regulators of plasma FXI level.",9606,3827
http://identifiers.org/pubmed/22370893,claims,"EZH2 epigenetically silenced multiple miRNAs that negatively regulate hepatocellular carcinoma metastasis.",9606,2146
http://identifiers.org/pubmed/22366060,claims,"In neurons FAK acts as a negative regulator of insulin/PI3K signaling.",10090,14083
http://identifiers.org/pubmed/22576309,claims,"Specific PZ variants and haplotypes are significantly associated with Sickle cell disease Vaso-Occlusive Crisis.",9606,8858
http://identifiers.org/pubmed/22150821,claims,"Hypoxia-inducible factor 1alpha protein is increased in the brain and liver of von Hippel-Lindau knock-out mice.",10090,15251
http://identifiers.org/pubmed/22523074,claims,"ARF6 activated by the LHCG receptor through the cytohesin family of guanine nucleotide exchange factors mediates the receptor internalization and signaling.",9606,382
http://identifiers.org/pubmed/22520462,claims,"YopJ subverts the Nod2/RICK/TAK1 pathway and activates caspase-1 to induce intestinal barrier dysfunction.",633,3293166
http://identifiers.org/pubmed/22553341,claims,"Expression of CART in small bowel carcinoid tumors is associated with worse survival.",9606,9607
http://identifiers.org/pubmed/22718831,claims,"Foot-and-mouth disease virus 3C protease cleaves NEMO to impair innate immune signaling.",9823,100127355
http://identifiers.org/pubmed/22547781,claims,"Ser phosphorylation of Arabidopsis thaliana RNAPII CTD is governed by CYCLIN-DEPENDENT KINASE F;1.",3702,2828219
http://identifiers.org/pubmed/22573320,claims,"The toxicity of 103 glutamines (HttQ103) in yeast containing the [PSI(+)] prion is primarily due to sequestration of the essential protein, Sup35.",559292,851752
http://identifiers.org/pubmed/22686457,claims,"The HdSOD is a heme-sensor protein, in which binding to small gaseous molecules modulates the enzyme superoxide activity as an adaptive response to the bacterial environment.",233412,1490796
http://identifiers.org/pubmed/22406830,claims,"The interaction between DNA polymerase III alpha and UmuD contributes to the transition between replicative and translesion synthesis polymerases by removing DNA polymerase III alpha from the beta clamp.",511145,944877
