# Source: https://github.com/tkuhn/nanopubstudies-supplementary/blob/master/botstudy/extract_evalresults.ods
TAX,GENE,PMID,AIDA-SENTENCE
9606,3146,22703527,"Serum HMGB1 is a desirable diagnostic and prognostic biomarker for PDAC compared with pre-existing pancreatic ductal adenocarcinoma (PDAC) biomarkers, CA19-9 and CEA."
10090,12393,22223437,Targeting Runx2 in hypertrophic chondrocytes upregulates expression of Col10a1 and other marker genes (such as Sox9).
10090,17319,22575600,MIF is essential for the development of neuropathic and inflammatory pain and for stress-induced enhancement of neuropathic pain.
257310,2660615,22458330,"BfrA, BfrD and BfrE are catecholamine receptors and are involved in the utilization of iron liberated from transferrin by host catecholamine stress hormones."
9606,64802,22842229,Mutations in NMNAT1 cause Leber congenital amaurosis with early-onset severe macular and optic atrophy.
9606,10018,22645134,TRAIL induces recruitment of PACS-2 to lysosomes where it interacts with Bim and Bax to permeabilize lysosomes and trigger apoptosis.
10090,22030,22711886,Expression of endogenous TRAF2 is negligible in Traf2DN-transgenic B cells compared with wild-type mice.
511145,949122,22349271,Deletion of penicillin-binding protein 1b impairs biofilm formation and motility.
9606,5663,22689582,Secretase subunits restrict the arrangement of the transmembrane domains of presenilin during the formation of the functional structure of the catalytic pore.
559292,9164870,22379137,The function of the Tlc1 terminator region depends on the Nrd1/Nab3 transcription termination pathway.
3702,817246,22608924,Selective nuclear import of mature AGO4/siRNA complexes is a key regulatory point prior to the effector stage of RdDM.
10116,116484,22342837,Trx-1 is a therapeutic candidate for protecting against formaldehyde-induced neurotoxicity.
9606,7157,22511763,TLP mediates p53-governed transcriptional activation of the p21 upstream promoter.
10116,29477,22767602,Phosphorylation of SRp55 by Dyrk1A suppressed its ability to promote Tau exon 10 inclusion.
9606,728635,23036705,DHRS4L1 is a duplicate syntenic form of the human DHRS4 gene.
9606,1278,22815632,The rs42524 polymorphism in COL1A2 is a risk allele for neovascular age-related macular degeneration (nAMD) in a Han Chinese population.
3702,2828219,22547782,The BIO3-BIO1 fusion protein is the sole protein form produced by the BIO3-BIO1 locus in Arabidopsis.
9606,2719,22298472,Loss of glypican 3 is associated with metastasis in hepatocellular carcinoma.
10116,50561,22561140,Resp18 gene expression varies with activation of the corpus ghrelin-secreting cells and the antral gastrin-secreting cells.
9606,1571,22997752,CYP 2E1 -1293G/C polymorphism is not associated with dystrophic eye diseases.
9606,1636,22396489,D allele and DD ACE genotype are risk factors for the vesicoureteral reflux susceptibility/renal scar in Turkish children.
10090,387217,22660635,"MiR-23b suppresses IL-17-, tumor necrosis factor alpha (TNF-alpha)- or IL-1beta-induced NF-kappaB activation and inflammatory cytokine expression by targeting TAB2, TAB3 and IKK-alpha."
9606,675,21476145,BRCA2 N372H polymorphism is associated with follicular lymphoma.
10090,57765,22561605,T-bet is required for the survival and function of memory B cells in vivo.
7227,34686,22786636,dMRP and MET are not the dominant methotrexate (MTX) transporters in the tubules when flies are reared on MTX-enriched diets.
9606,11140,22727666,"A series of tyrosine phosphorylation events, involving both p50(Cdc37) and Hsp90, are minimally sufficient to provide directionality to the chaperone cycle."
10090,18186,22790009,SEMA3A signalling through NRP1 has multiple cell-autonomous roles in sympathetic nervous system development.
10090,18760,22636676,PKD facilitates contraction of cardiomyocytes by increasing Ca(2+) sensitivity and by an increased calcium-activated tension of contraction through phosphorylation of cMyBP-C.
9606,4437,22343000,The binding of HIF-1alpha complexes to hypoxia response element sites is necessary for down-regulation of hMSH3 in both wt-p53 and mut-p53 cells.
9606,1025,22895430,"The super elongation complex (SEC) is consisting of ELL, P-TEFb (CDK9) and MLL is required for rapid transcriptional induction in the presence or absence of paused RNA polymerase II (Pol II)."
9606,3827,22701019,KNG1 and F11 are the main genetic regulators of plasma FXI level.
9606,2146,22370893,EZH2 epigenetically silenced multiple miRNAs that negatively regulate hepatocellular carcinoma metastasis.
10090,14083,22366060,In neurons FAK acts as a negative regulator of insulin/PI3K signaling.
9606,8858,22576309,Specific PZ variants and haplotypes are significantly associated with Sickle cell disease Vaso-Occlusive Crisis.
10090,15251,22150821,Hypoxia-inducible factor 1alpha protein is increased in the brain and liver of von Hippel-Lindau knock-out mice.
9606,382,22523074,ARF6 activated by the LHCG receptor through the cytohesin family of guanine nucleotide exchange factors mediates the receptor internalization and signaling.
633,3293166,22520462,YopJ subverts the Nod2/RICK/TAK1 pathway and activates caspase-1 to induce intestinal barrier dysfunction.
9606,9607,22553341,Expression of CART in small bowel carcinoid tumors is associated with worse survival.
9823,100127355,22718831,Foot-and-mouth disease virus 3C protease cleaves NEMO to impair innate immune signaling.
3702,2828219,22547781,Ser phosphorylation of Arabidopsis thaliana RNAPII CTD is governed by CYCLIN-DEPENDENT KINASE F;1.
559292,851752,22573320,"The toxicity of 103 glutamines (HttQ103) in yeast containing the [PSI(+)] prion is primarily due to sequestration of the essential protein, Sup35."
233412,1490796,22686457,"The HdSOD is a heme-sensor protein, in which binding to small gaseous molecules modulates the enzyme superoxide activity as an adaptive response to the bacterial environment."
511145,944877,22406830,The interaction between DNA polymerase III alpha and UmuD contributes to the transition between replicative and translesion synthesis polymerases by removing DNA polymerase III alpha from the beta clamp.
6239,260100,22482727,Mir-71 functions in the nervous system to facilitate the localization and transcriptional activity of DAF-16 in the intestine.
10090,14130,22692512,Regulatory dendritic cells can induce splenic B cells to differentiate into a distinct subtype of IL-10-producing regulatory B cells with unique phenotype CD19(hi)FcgammaIIb(hi).
10359,3077439,22589554,Residues Glu-56 and Tyr-57 are essential for pUL50-pUL53 interaction.
9606,4137,21919991,Ubiquitin targeting of tau protein occurs at neurofibrillary tangles in the early and intermediate maturation stages.
99287,2829957,22623980,LsrR-mediated quorum sensing controls invasiveness of Salmonella typhimurium by regulating SPI-1 and flagella genes.
10116,171373,22441041,SNARE proteins are necessary for the increased activity of KCC2 after Zn(2+) stimulation of mZnR/GPR39.
6239,3896872,23112336,"Ntc-1 encodes a VP/OT-related peptide, nematocin, that signals through the NTR-1 receptor."
9606,2052,22524818,Low microsomal epoxide hydrolase expression is associated with bladder carcinogenesis and recurrence.
9606,673,22824468,Single Nucleotide Polymorphisms in BRAF gene is associated with diseases.
10116,29240,22651551,The closed state of E295K has a more distorted active site than the active site in the wild-type Polb.
10090,20677,22627767,Sox4 and CREB cooperate and contribute to increased proliferation of hematopoietic progenitor cells.
9606,2109,22588007,Point mutations in electron-transfer-flavoprotein beta is associated with destabilized conformations and defective protein:protein interactions leading to mitochondrial dysfunction.
7955,553166,22898304,The phosphorylation of Dpysl2 and Dpysl3 by Cdk5 and DYRK2 is required for the proper positioning of Rohon-Beard neurons and neural crest cells during neurulation in zebrafish embryos.
9606,407011,22660635,"MiR-23b suppresses IL-17-, tumor necrosis factor alpha (TNF-alpha)- or IL-1beta-induced NF-kappaB activation and inflammatory cytokine expression by targeting TAB2, TAB3 and IKK-alpha."
10090,22408,22572818,Wnt1 is anti-lymphangiogenic by suppressing melanoma-derived VEGF-C expression.
9606,9227,22605381,Acyl-modified forms of HRAS-like tumor suppressors HRASLS2 and HRASLS3 are mimicking lipolytic activity of lecithin retinol acyltransferase LRAT.
10090,18799,22805570,Loss of phospholipase Cdelta1 from keratinocytes causes features of interleukin-17-associated inflammatory skin diseases.
9606,55799,22644305,Expression of CACNA2D3 mRNA is regulated in breast cancer cell lines by methylation in the CpG island located in the 5' regulatory region of the gene.
9606,999,22638108,Rab7 siRNA knockdown causes increased E-cadherin.
9606,1026,22683204,"In response to replicative stress and unresolved DNA damage, p53 is hyperactivated in FA cells and triggers a late p21(Cdkn1a)-dependent G0/G1 cell-cycle arrest."
10116,25636,20147366,Vacuolar H+-ATPase apical accumulation in kidney intercalated cells is regulated by PKA and AMP-activated protein kinase.
559292,853554,22185758,"The Bud4, along with Gin4 and cla4, is part of a complex network that regulates septins organizaon at the time of cytokinesis."
10090,16772,22761447,alpha1- and alpha5-containing laminins differentially regulate the sequential events to form epithelial tissues via beta1 integrin signals.
9940,2828237,22426621,Prolactin and epidermal growth factor stimulate adipophilin synthesis in HC11 mouse mammary epithelial cells via the PI3-kinase/Akt/mTOR pathway.
10090,76477,22610170,PCOLCE2 is required for efficient procollagen processing and deposition of fibrillar collagen in the pressure-overloaded myocardium.
9606,79923,21336986,Overexpression of Nanog protein is associated with gastric adenocarcinoma.
7227,12798012,22814608,"Let-7 and miR-125, cotranscribed from the let-7-complex locus, regulate the transcription factor chinmo to control temporal cell fate in the mushroom body (MB) lineage."
9606,80760,22616691,ITIH5 gene expression is regulated both by obesity and by the region between visceral and subcutaneous adipose tissue.
